=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.01 17:31:56 =~=~=~=~=~=~=~=~=~=~=~=
SampleIndex,Voltage(V),Current(A),ActiveChannel
136,0.7660,0.030968,4
137,0.8166,0.028152,4
138,0.8672,0.021818,4
139,0.9178,0.009150,4
140,0.9684,0.007742,4
141,1.0189,0.007742,4
142,1.0695,0.007038,4
143,1.1201,0.006334,4
144,1.1707,0.006334,4
145,1.2285,0.007742,4
146,1.2791,0.007038,4
147,1.3297,0.005630,4
148,1.3803,0.004927,4
149,1.4309,0.007038,4
150,1.4814,0.006334,4
151,1.5320,0.007038,4
152,1.5826,0.007038,4
153,1.6332,0.005630,4
154,1.6766,0.006334,4
155,1.7271,0.005630,4
156,1.7705,0.007038,4
157,1.8139,0.006334,4
158,1.8572,0.006334,4
159,1.9006,0.006334,4
160,1.9439,0.007038,4
161,1.9801,0.007742,4
162,2.0162,0.006334,4
163,2.0523,0.004927,4
164,2.0885,0.007038,4
165,2.1246,0.007038,4
166,2.1535,0.005630,4
167,2.1824,0.005630,4
168,2.2113,0.007038,4
169,2.2402,0.006334,4
170,2.2619,0.007038,4
171,2.2836,0.006334,4
172,2.3053,0.006334,4
173,2.3270,0.007742,4
174,2.3414,0.007038,4
175,2.3559,0.007038,4
176,2.3703,0.007038,4
177,2.3775,0.007038,4
178,2.3848,0.006334,4
179,2.3920,0.006334,4
180,2.3920,0.007038,4
181,2.3992,0.006334,4
182,2.3920,0.006334,4
183,2.3920,0.006334,4
184,2.3848,0.007038,4
185,2.3775,0.005630,4
186,2.3703,0.006334,4
187,2.3559,0.007038,4
188,2.3414,0.006334,4
189,2.3270,0.006334,4
190,2.3053,0.007038,4
191,2.2836,0.006334,4
192,2.2619,0.007038,4
193,2.2402,0.006334,4
194,2.2113,0.006334,4
195,2.1824,0.006334,4
196,2.1535,0.007742,4
197,2.1246,0.005630,4
198,2.0885,0.007038,4
199,2.0523,0.006334,4
200,2.0162,0.007038,4
201,1.9801,0.007038,4
202,1.9439,0.006334,4
203,1.9006,0.005630,4
204,1.8572,0.007742,4
205,1.8139,0.005630,4
206,1.7705,0.005630,4
207,1.7271,0.006334,4
208,1.6766,0.007038,4
209,1.6260,0.006334,4
210,1.5826,0.006334,4
211,1.5320,0.007038,4
212,1.4814,0.006334,4
213,1.4309,0.007038,4
214,1.3803,0.005630,4
215,1.3297,0.007742,4
216,1.2791,0.006334,4
217,1.2285,0.005630,4
218,1.1779,0.006334,4
219,1.1273,0.005630,4
220,1.0768,0.006334,4
221,1.0189,0.007038,4
222,0.9684,0.006334,4
223,0.9250,0.007742,4
224,0.8744,0.007742,4
225,0.8238,0.009853,4
226,0.7732,0.025337,4
227,0.7227,0.025337,4
228,0.6793,0.028152,4
229,0.6359,0.047155,4
230,0.5854,0.052786,4
231,0.5420,0.048563,4
232,0.4986,0.067566,4
233,0.4625,0.080235,4
234,0.4191,0.076012,4
235,0.3830,0.097126,4
236,0.3469,0.095718,4
237,0.3107,0.107683,4
238,0.2746,0.123871,4
239,0.2457,0.116833,4
240,0.2168,0.125279,4
241,0.1879,0.133724,4
242,0.1590,0.131613,4
243,0.1301,0.147097,4
244,0.1084,0.161877,4
245,0.0867,0.149912,4
246,0.0723,0.165396,4
247,0.0506,0.175249,4
248,0.0361,0.178768,4
249,0.0289,0.174545,4
250,0.0145,0.168915,4
251,0.0072,0.186510,4
252,0.0000,0.178768,4
253,0.0000,0.181584,4
254,0.0000,0.177361,4
255,0.0000,0.181584,4
256,0.0000,0.175953,4
257,0.0072,0.190733,4
258,0.0145,0.171026,4
259,0.0217,0.180880,4
260,0.0361,0.179472,4
261,0.0434,0.173842,4
262,0.0650,0.157654,4
263,0.0795,0.162581,4
264,0.1012,0.168211,4
265,0.1229,0.143578,4
266,0.1445,0.149912,4
267,0.1734,0.140059,4
268,0.2023,0.128094,4
269,0.2313,0.125982,4
270,0.2602,0.140762,4
271,0.2963,0.106276,4
272,0.3252,0.113314,4
273,0.3613,0.105572,4
274,0.4047,0.100645,4
275,0.4408,0.087273,4
276,0.4842,0.093607,4
277,0.5275,0.072493,4
278,0.5709,0.070381,4
279,0.6143,0.066862,4
280,0.6576,0.051378,4
281,0.7010,0.044340,4
282,0.7516,0.040821,4
283,0.8021,0.024633,4
284,0.8455,0.019707,4
285,0.8961,0.016891,4
286,0.9467,0.006334,4
287,0.9973,0.007038,4
288,1.0479,0.007742,4
289,1.0984,0.007038,4
290,1.1490,0.007038,4
291,1.2068,0.007038,4
292,1.2574,0.007038,4
293,1.3080,0.006334,4
294,1.3658,0.006334,4
295,1.4164,0.007038,4
296,1.4670,0.005630,4
297,1.5104,0.006334,4
298,1.5609,0.005630,4
299,1.6115,0.007038,4
300,1.6621,0.007038,4
301,1.7055,0.007038,4
302,1.7561,0.007742,4
303,1.7994,0.007742,4
304,1.8428,0.006334,4
305,1.8861,0.006334,4
306,1.9295,0.006334,4
307,1.9656,0.007038,4
308,2.0018,0.006334,4
309,2.0451,0.006334,4
310,2.0812,0.007038,4
311,2.1102,0.006334,4
312,2.1463,0.007038,4
313,2.1752,0.005630,4
314,2.2041,0.007038,4
315,2.2330,0.007038,4
316,2.2547,0.005630,4
317,2.2764,0.007038,4
318,2.2980,0.005630,4
319,2.3197,0.005630,4
320,2.3342,0.006334,4
321,2.3486,0.005630,4
322,2.3631,0.007038,4
323,2.3775,0.007038,4
324,2.3848,0.006334,4
325,2.3920,0.005630,4
326,2.3920,0.008446,4
327,2.3920,0.006334,4
328,2.3920,0.004927,4
329,2.3920,0.007742,4
330,2.3848,0.006334,4
331,2.3775,0.005630,4
332,2.3703,0.006334,4
333,2.3631,0.006334,4
334,2.3486,0.007038,4
335,2.3342,0.007038,4
336,2.3125,0.006334,4
337,2.2980,0.007038,4
338,2.2764,0.006334,4
339,2.2475,0.006334,4
340,2.2258,0.006334,4
341,2.1969,0.006334,4
342,2.1680,0.006334,4
343,2.1391,0.005630,4
344,2.1029,0.004927,4
345,2.0668,0.007038,4
346,2.0307,0.006334,4
347,1.9945,0.007038,4
348,1.9584,0.007038,4
349,1.9150,0.007038,4
350,1.8717,0.007038,4
351,1.8283,0.006334,4
352,1.7850,0.007038,4
353,1.7416,0.006334,4
354,1.6910,0.007038,4
355,1.6477,0.005630,4
356,1.5971,0.007742,4
357,1.5537,0.007038,4
358,1.5031,0.006334,4
359,1.4525,0.006334,4
360,1.4020,0.007038,4
361,1.3514,0.005630,4
362,1.3008,0.006334,4
363,1.2502,0.007038,4
364,1.1924,0.006334,4
365,1.1418,0.007038,4
366,1.0912,0.007742,4
367,1.0406,0.006334,4
368,0.9900,0.007038,4
369,0.9395,0.006334,4
370,0.8889,0.008446,4
371,0.8383,0.009150,4
372,0.7949,0.010557,4
373,0.7443,0.028152,4
374,0.6938,0.029560,4
375,0.6504,0.030264,4
376,0.6070,0.047859,4
377,0.5637,0.057713,4
378,0.5203,0.059824,4
379,0.4770,0.077419,4
380,0.4336,0.079531,4
381,0.3975,0.074604,4
382,0.3613,0.090792,4
383,0.3252,0.099941,4
384,0.2891,0.097830,4
385,0.2529,0.117537,4
386,0.2240,0.116833,4
387,0.1951,0.123167,4
388,0.1662,0.137947,4
389,0.1445,0.137947,4
390,0.1156,0.140059,4
391,0.0939,0.152023,4
392,0.0795,0.160469,4
393,0.0578,0.164692,4
394,0.0434,0.166100,4
395,0.0289,0.171730,4
396,0.0217,0.171730,4
397,0.0072,0.182991,4
398,0.0072,0.168211,4
399,0.0000,0.175249,4
400,0.0000,0.180176,4
401,0.0000,0.173138,4
402,0.0000,0.190733,4
403,0.0000,0.176657,4
404,0.0072,0.185806,4
405,0.0145,0.184399,4
406,0.0289,0.180176,4
407,0.0434,0.163284,4
408,0.0578,0.171730,4
409,0.0723,0.153431,4
410,0.0939,0.151320,4
411,0.1156,0.149912,4
412,0.1373,0.146393,4
413,0.1590,0.148504,4
414,0.1879,0.152727,4
415,0.2168,0.139355,4
416,0.2457,0.126686,4
417,0.2818,0.121056,4
418,0.3180,0.116129,4
419,0.3541,0.105572,4
420,0.3902,0.105572,4
421,0.4264,0.090088,4
422,0.4697,0.085161,4
423,0.5059,0.083754,4
424,0.5492,0.067566,4
425,0.5926,0.061232,4
426,0.6432,0.058416,4
427,0.6865,0.039413,4
428,0.7299,0.035191,4
429,0.7805,0.031672,4
430,0.8311,0.016188,4
431,0.8816,0.012669,4
432,0.9322,0.012669,4
433,0.9828,0.008446,4
434,1.0334,0.006334,4
435,1.0840,0.007038,4
436,1.1346,0.006334,4
437,1.1852,0.007038,4
438,1.2430,0.006334,4
439,1.2936,0.007038,4
440,1.3441,0.006334,4
441,1.3947,0.006334,4
442,1.4453,0.004927,4
443,1.4959,0.006334,4
444,1.5465,0.007038,4
445,1.5971,0.006334,4
446,1.6404,0.006334,4
447,1.6910,0.006334,4
448,1.7344,0.007038,4
449,1.7777,0.006334,4
450,1.8283,0.006334,4
451,1.8717,0.007038,4
452,1.9078,0.006334,4
453,1.9512,0.007038,4
454,1.9873,0.005630,4
455,2.0307,0.005630,4
456,2.0668,0.006334,4
457,2.0957,0.005630,4
458,2.1318,0.006334,4
459,2.1607,0.006334,4
460,2.1896,0.006334,4
461,2.2186,0.006334,4
462,2.2475,0.008446,4
463,2.2691,0.005630,4
464,2.2908,0.007038,4
465,2.3125,0.007038,4
466,2.3270,0.007038,4
467,2.3486,0.007742,4
468,2.3559,0.007038,4
469,2.3703,0.007038,4
470,2.3775,0.006334,4
471,2.3848,0.006334,4
472,2.3920,0.007038,4
473,2.3920,0.006334,4
474,2.3920,0.005630,4
475,2.3920,0.006334,4
476,2.3920,0.007038,4
477,2.3848,0.006334,4
478,2.3775,0.006334,4
479,2.3631,0.006334,4
480,2.3559,0.007038,4
481,2.3414,0.006334,4
482,2.3197,0.006334,4
483,2.3053,0.007742,4
484,2.2836,0.006334,4
485,2.2619,0.007038,4
486,2.2330,0.007038,4
487,2.2041,0.007038,4
488,2.1752,0.006334,4
489,2.1463,0.006334,4
490,2.1174,0.007038,4
491,2.0812,0.005630,4
492,2.0451,0.007038,4
493,2.0090,0.005630,4
494,1.9729,0.006334,4
495,1.9295,0.007038,4
496,1.8861,0.007038,4
497,1.8500,0.005630,4
498,1.7994,0.006334,4
499,1.7561,0.004927,4
500,1.7127,0.006334,4
501,1.6621,0.004927,4
502,1.6187,0.006334,4
503,1.5682,0.007038,4
504,1.5176,0.007038,4
505,1.4670,0.004927,4
506,1.4164,0.006334,4
507,1.3658,0.006334,4
508,1.3152,0.007038,4
509,1.2646,0.006334,4
510,1.2141,0.006334,4
511,1.1635,0.007742,4
512,1.1129,0.007038,4
513,1.0623,0.006334,4
514,1.0117,0.005630,4
515,0.9611,0.005630,4
516,0.9105,0.006334,4
517,0.8600,0.007038,4
518,0.8094,0.012669,4
519,0.7588,0.013372,4
520,0.7154,0.025337,4
521,0.6648,0.035894,4
522,0.6215,0.038710,4
523,0.5781,0.047859,4
524,0.5348,0.054897,4
525,0.4914,0.059120,4
526,0.4480,0.076716,4
527,0.4119,0.076716,4
528,0.3758,0.085161,4
529,0.3396,0.098534,4
530,0.3035,0.102053,4
531,0.2674,0.102757,4
532,0.2385,0.124575,4
533,0.2023,0.123871,4
534,0.1807,0.133724,4
535,0.1518,0.140059,4
536,0.1301,0.135836,4
537,0.1084,0.144985,4
538,0.0867,0.162581,4
539,0.0650,0.152727,4
540,0.0506,0.159062,4
541,0.0361,0.164692,4
542,0.0217,0.169619,4
543,0.0145,0.171730,4
544,0.0072,0.171026,4
545,0.0000,0.170323,4
546,0.0000,0.167507,4
547,0.0000,0.169619,4
548,0.0000,0.180176,4
549,0.0000,0.173842,4
550,0.0072,0.182287,4
551,0.0145,0.180176,4
552,0.0217,0.179472,4
553,0.0361,0.161173,4
554,0.0506,0.159765,4
555,0.0650,0.166100,4
556,0.0867,0.160469,4
557,0.1084,0.147097,4
558,0.1301,0.149912,4
559,0.1518,0.133724,4
560,0.1807,0.148504,4
561,0.2096,0.145689,4
562,0.2385,0.135132,4
563,0.2674,0.125279,4
564,0.3035,0.120352,4
565,0.3396,0.103460,4
566,0.3758,0.098534,4
567,0.4119,0.098534,4
568,0.4480,0.090792,4
569,0.4914,0.081642,4
570,0.5348,0.074604,4
571,0.5781,0.066862,4
572,0.6215,0.056305,4
573,0.6721,0.052786,4
574,0.7154,0.039413,4
575,0.7660,0.030264,4
576,0.8094,0.025337,4
577,0.8600,0.016891,4
578,0.9105,0.010557,4
579,0.9611,0.008446,4
580,1.0117,0.007038,4
581,1.0623,0.007038,4
582,1.1129,0.007742,4
583,1.1635,0.008446,4
584,1.2213,0.005630,4
585,1.2719,0.007038,4
586,1.3225,0.007038,4
587,1.3730,0.007038,4
588,1.4236,0.007038,4
589,1.4742,0.005630,4
590,1.5248,0.005630,4
591,1.5754,0.006334,4
592,1.6260,0.007038,4
593,1.6693,0.006334,4
594,1.7199,0.006334,4
595,1.7633,0.007038,4
596,1.8066,0.007038,4
597,1.8500,0.006334,4
598,1.8934,0.005630,4
599,1.9367,0.006334,4
600,1.9729,0.007038,4
601,2.0162,0.006334,4
602,2.0523,0.007742,4
603,2.0885,0.007038,4
604,2.1174,0.007038,4
605,2.1535,0.007742,4
606,2.1824,0.006334,4
607,2.2113,0.005630,4
608,2.2402,0.007038,4
609,2.2619,0.005630,4
610,2.2836,0.007038,4
611,2.3053,0.005630,4
612,2.3270,0.007742,4
613,2.3414,0.007038,4
614,2.3559,0.007742,4
615,2.3703,0.007038,4
616,2.3775,0.007038,4
617,2.3848,0.005630,4
618,2.3920,0.007038,4
619,2.3920,0.007742,4
620,2.3920,0.006334,4
621,2.3920,0.006334,4
622,2.3920,0.006334,4
623,2.3848,0.005630,4
624,2.3775,0.007038,4
625,2.3703,0.006334,4
626,2.3559,0.005630,4
627,2.3414,0.007742,4
628,2.3270,0.006334,4
629,2.3125,0.005630,4
630,2.2908,0.007038,4
631,2.2691,0.006334,4
632,2.2402,0.005630,4
633,2.2186,0.007038,4
634,2.1896,0.005630,4
635,2.1607,0.006334,4
636,2.1246,0.007038,4
637,2.0957,0.005630,4
638,2.0596,0.006334,4
639,2.0234,0.007742,4
640,1.9873,0.005630,4
641,1.9439,0.007038,4
642,1.9078,0.007038,4
643,1.8645,0.006334,4
644,1.8211,0.007038,4
645,1.7777,0.006334,4
646,1.7271,0.007038,4
647,1.6838,0.007038,4
648,1.6332,0.005630,4
649,1.5898,0.006334,4
650,1.5393,0.007038,4
651,1.4887,0.007038,4
652,1.4381,0.006334,4
653,1.3875,0.006334,4
654,1.3369,0.006334,4
655,1.2863,0.007038,4
656,1.2357,0.005630,4
657,1.1852,0.006334,4
658,1.1346,0.006334,4
659,1.0768,0.005630,4
660,1.0262,0.007038,4
661,0.9756,0.006334,4
662,0.9250,0.007742,4
663,0.8744,0.007038,4
664,0.8311,0.009853,4
665,0.7805,0.014780,4
666,0.7299,0.016891,4
667,0.6865,0.030968,4
668,0.6359,0.039413,4
669,0.5926,0.036598,4
670,0.5492,0.048563,4
671,0.5059,0.065455,4
672,0.4625,0.062639,4
673,0.4264,0.080235,4
674,0.3902,0.089384,4
675,0.3469,0.093607,4
676,0.3107,0.104164,4
677,0.2818,0.113314,4
678,0.2457,0.115425,4
679,0.2168,0.125279,4
680,0.1879,0.125982,4
681,0.1590,0.123871,4
682,0.1373,0.137947,4
683,0.1156,0.152727,4
684,0.0939,0.149912,4
685,0.0723,0.160469,4
686,0.0578,0.151320,4
687,0.0434,0.154135,4
688,0.0289,0.161173,4
689,0.0145,0.175249,4
690,0.0072,0.176657,4
691,0.0000,0.164692,4
692,0.0000,0.172434,4
693,0.0000,0.166804,4
694,0.0000,0.178768,4
695,0.0000,0.171730,4
696,0.0072,0.180880,4
697,0.0145,0.166804,4
698,0.0217,0.171026,4
699,0.0289,0.168211,4
700,0.0434,0.175953,4
701,0.0578,0.170323,4
702,0.0795,0.172434,4
703,0.0939,0.146393,4
704,0.1156,0.160469,4
705,0.1445,0.156246,4
706,0.1662,0.136540,4
707,0.1951,0.127390,4
708,0.2240,0.126686,4
709,0.2529,0.123871,4
710,0.2891,0.121760,4
711,0.3252,0.111202,4
712,0.3613,0.109795,4
713,0.3975,0.090088,4
714,0.4336,0.090792,4
715,0.4770,0.078827,4
716,0.5203,0.072493,4
717,0.5637,0.066862,4
718,0.6070,0.058416,4
719,0.6504,0.044340,4
720,0.7010,0.040821,4
721,0.7443,0.033783,4
722,0.7949,0.021818,4
723,0.8455,0.020411,4
724,0.8889,0.012669,4
725,0.9395,0.007742,4
726,0.9900,0.007742,4
727,1.0406,0.007038,4
728,1.0912,0.006334,4
729,1.1418,0.007038,4
730,1.1996,0.006334,4
731,1.2574,0.006334,4
732,1.3080,0.006334,4
733,1.3586,0.006334,4
734,1.4092,0.007038,4
735,1.4598,0.007038,4
736,1.5104,0.005630,4
737,1.5537,0.006334,4
738,1.6043,0.007038,4
739,1.6549,0.006334,4
740,1.6982,0.007038,4
741,1.7488,0.005630,4
742,1.7922,0.006334,4
743,1.8355,0.007742,4
744,1.8789,0.006334,4
745,1.9223,0.006334,4
746,1.9584,0.007038,4
747,2.0018,0.004927,4
748,2.0379,0.007742,4
749,2.0740,0.006334,4
750,2.1102,0.006334,4
751,2.1391,0.007038,4
752,2.1680,0.005630,4
753,2.1969,0.007038,4
754,2.2258,0.007038,4
755,2.2547,0.007038,4
756,2.2764,0.006334,4
757,2.2980,0.006334,4
758,2.3197,0.006334,4
759,2.3342,0.007038,4
760,2.3486,0.007038,4
761,2.3631,0.007038,4
762,2.3703,0.006334,4
763,2.3848,0.006334,4
764,2.3920,0.007038,4
765,2.3920,0.005630,4
766,2.3920,0.004927,4
767,2.3920,0.007038,4
768,2.3920,0.007038,4
769,2.3920,0.007038,4
770,2.3848,0.006334,4
771,2.3703,0.006334,4
772,2.3631,0.005630,4
773,2.3486,0.006334,4
774,2.3342,0.006334,4
775,2.3197,0.004927,4
776,2.2980,0.005630,4
777,2.2764,0.007038,4
778,2.2547,0.006334,4
779,2.2258,0.007038,4
780,2.1969,0.007742,4
781,2.1680,0.006334,4
782,2.1391,0.007038,4
783,2.1102,0.005630,4
784,2.0740,0.006334,4
785,2.0379,0.005630,4
786,2.0018,0.005630,4
787,1.9584,0.007038,4
788,1.9223,0.006334,4
789,1.8789,0.007038,4
790,1.8355,0.005630,4
791,1.7922,0.007038,4
792,1.7488,0.004927,4
793,1.6982,0.007038,4
794,1.6549,0.007038,4
795,1.6043,0.004927,4
796,1.5537,0.007742,4
797,1.5104,0.007742,4
798,1.4598,0.007742,4
799,1.4092,0.007038,4
800,1.3586,0.007038,4
801,1.3080,0.006334,4
802,1.2502,0.006334,4
803,1.1996,0.006334,4
804,1.1490,0.006334,4
805,1.0984,0.007742,4
806,1.0479,0.006334,4
807,0.9973,0.007038,4
808,0.9467,0.005630,4
809,0.8961,0.007742,4
810,0.8455,0.007742,4
811,0.7949,0.011261,4
812,0.7516,0.019707,4
813,0.7010,0.021818,4
814,0.6576,0.035894,4
815,0.6143,0.040821,4
816,0.5637,0.044340,4
817,0.5203,0.049971,4
818,0.4842,0.068270,4
819,0.4408,0.073900,4
820,0.4047,0.077419,4
821,0.3613,0.083050,4
822,0.3252,0.092199,4
823,0.2891,0.102757,4
824,0.2602,0.114018,4
825,0.2313,0.118240,4
826,0.1951,0.122463,4
827,0.1734,0.122463,4
828,0.1445,0.126686,4
829,0.1229,0.138651,4
830,0.1012,0.149208,4
831,0.0795,0.141466,4
832,0.0650,0.163988,4
833,0.0434,0.154135,4
834,0.0361,0.169619,4
835,0.0217,0.166804,4
836,0.0145,0.169619,4
837,0.0072,0.173138,4
838,0.0000,0.171730,4
839,0.0000,0.166804,4
840,0.0000,0.175249,4
841,0.0000,0.171026,4
842,0.0000,0.180176,4
843,0.0072,0.171026,4
844,0.0145,0.179472,4
845,0.0289,0.178768,4
846,0.0361,0.178065,4
847,0.0506,0.156246,4
848,0.0723,0.154135,4
849,0.0867,0.162581,4
850,0.1084,0.141466,4
851,0.1301,0.140762,4
852,0.1590,0.138651,4
853,0.1879,0.140762,4
854,0.2168,0.135132,4
855,0.2457,0.125982,4
856,0.2746,0.113314,4
857,0.3107,0.113314,4
858,0.3469,0.105572,4
859,0.3830,0.097126,4
860,0.4191,0.088680,4
861,0.4625,0.080235,4
862,0.5059,0.076012,4
863,0.5420,0.067566,4
864,0.5926,0.055601,4
865,0.6359,0.051378,4
866,0.6793,0.040821,4
867,0.7299,0.039413,4
868,0.7732,0.030968,4
869,0.8238,0.019003,4
870,0.8744,0.016891,4
871,0.9250,0.009150,4
872,0.9756,0.007038,4
873,1.0262,0.006334,4
874,1.0768,0.006334,4
875,1.1273,0.006334,4
876,1.1779,0.006334,4
877,1.2357,0.007038,4
878,1.2863,0.004927,4
879,1.3369,0.007742,4
880,1.3875,0.007742,4
881,1.4381,0.005630,4
882,1.4887,0.007742,4
883,1.5393,0.005630,4
884,1.5898,0.005630,4
885,1.6332,0.005630,4
886,1.6838,0.006334,4
887,1.7271,0.004927,4
888,1.7777,0.005630,4
889,1.8211,0.007038,4
890,1.8645,0.006334,4
891,1.9078,0.005630,4
892,1.9439,0.007038,4
893,1.9873,0.006334,4
894,2.0234,0.007038,4
895,2.0596,0.006334,4
896,2.0957,0.006334,4
897,2.1246,0.007038,4
898,2.1607,0.007038,4
899,2.1896,0.006334,4
900,2.2186,0.007038,4
901,2.2402,0.006334,4
902,2.2691,0.007038,4
903,2.2908,0.005630,4
904,2.3125,0.005630,4
905,2.3270,0.005630,4
906,2.3414,0.006334,4
907,2.3559,0.006334,4
908,2.3703,0.007038,4
909,2.3775,0.007742,4
910,2.3848,0.006334,4
911,2.3920,0.006334,4
912,2.3920,0.005630,4
913,2.3920,0.006334,4
914,2.3920,0.006334,4
915,2.3920,0.007038,4
916,2.3848,0.007038,4
917,2.3775,0.006334,4
918,2.3631,0.004927,4
919,2.3559,0.007038,4
920,2.3414,0.006334,4
921,2.3270,0.007742,4
922,2.3053,0.006334,4
923,2.2836,0.006334,4
924,2.2619,0.005630,4
925,2.2402,0.006334,4
926,2.2113,0.006334,4
927,2.1824,0.005630,4
928,2.1535,0.007038,4
929,2.1174,0.007038,4
930,2.0885,0.007038,4
931,2.0523,0.006334,4
932,2.0162,0.004927,4
933,1.9729,0.007038,4
934,1.9367,0.005630,4
935,1.8934,0.006334,4
936,1.8500,0.007038,4
937,1.8066,0.007038,4
938,1.7633,0.005630,4
939,1.7199,0.004927,4
940,1.6693,0.006334,4
941,1.6260,0.004927,4
942,1.5754,0.007038,4
943,1.5248,0.006334,4
944,1.4742,0.006334,4
945,1.4236,0.007038,4
946,1.3730,0.006334,4
947,1.3225,0.006334,4
948,1.2719,0.006334,4
949,1.2213,0.007038,4
950,1.1707,0.005630,4
951,1.1201,0.006334,4
952,1.0695,0.007038,4
953,1.0189,0.006334,4
954,0.9684,0.006334,4
955,0.9178,0.007038,4
956,0.8672,0.007742,4
957,0.8166,0.008446,4
958,0.7660,0.014780,4
959,0.7227,0.021114,4
960,0.6721,0.026041,4
961,0.6287,0.034487,4
962,0.5854,0.049971,4
963,0.5420,0.052786,4
964,0.4986,0.060528,4
965,0.4553,0.067566,4
966,0.4191,0.070381,4
967,0.3758,0.080235,4
968,0.3396,0.086569,4
969,0.3035,0.092199,4
970,0.2746,0.110499,4
971,0.2385,0.120352,4
972,0.2096,0.112610,4
973,0.1807,0.134428,4
974,0.1518,0.129501,4
975,0.1301,0.139355,4
976,0.1084,0.149912,4
977,0.0867,0.148504,4
978,0.0650,0.161877,4
979,0.0506,0.155543,4
980,0.0361,0.156950,4
981,0.0217,0.171026,4
982,0.0145,0.172434,4
983,0.0072,0.170323,4
984,0.0000,0.161173,4
985,0.0000,0.171730,4
